Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
227,4,Sep 22 2012,Sat,(14) Florida,38,,Kentucky,0,
228,4,Sep 22 2012,Sat,(4) Florida State,49,,(10) Clemson,37,
229,4,Sep 22 2012,Sat,(5) Georgia,48,,Vanderbilt,3,
230,4,Sep 22 2012,Sat,(15) Kansas State,24,@,(6) Oklahoma,19,
231,4,Sep 22 2012,Sat,(2) Louisiana State,12,@,Auburn,10,
232,4,Sep 22 2012,Sat,Louisiana Tech,52,@,Illinois,24,
233,4,Sep 22 2012,Sat,(20) Louisville,28,@,Florida International,21,
234,4,Sep 22 2012,Sat,Marshall,54,@,Rice,51,
235,4,Sep 22 2012,Sat,Miami (FL),42,@,Georgia Tech,36,
236,4,Sep 22 2012,Sat,Miami (OH),27,,Massachusetts,16,
237,4,Sep 22 2012,Sat,(21) Michigan State,23,,Eastern Michigan,7,
238,4,Sep 22 2012,Sat,Minnesota,17,,Syracuse,10,
239,4,Sep 22 2012,Sat,Mississippi,39,,Tulane,0,
240,4,Sep 22 2012,Sat,(23) Mississippi State,30,,South Alabama,10,
241,4,Sep 22 2012,Sat,Navy,41,,Virginia Military Institute,3,
242,4,Sep 22 2012,Sat,(25) Nebraska,73,,Idaho State,7,
243,4,Sep 22 2012,Sat,Nevada,69,@,Hawaii,24,
244,4,Sep 22 2012,Sat,Nevada-Las Vegas,38,,Air Force,35,
245,4,Sep 22 2012,Sat,New Mexico,27,@,New Mexico State,14,
246,4,Sep 22 2012,Sat,North Carolina,27,,East Carolina,6,
247,4,Sep 22 2012,Sat,North Carolina State,52,,Citadel,14,
248,4,Sep 22 2012,Sat,Northern Illinois,30,,Kansas,23,
249,4,Sep 22 2012,Sat,Northwestern,38,,South Dakota,7,
250,4,Sep 22 2012,Sat,(11) Notre Dame,13,,(18) Michigan,6,
251,4,Sep 22 2012,Sat,Ohio,44,,Norfolk State,10,
252,4,Sep 22 2012,Sat,(16) Ohio State,29,,Alabama-Birmingham,15,
253,4,Sep 22 2012,Sat,(3) Oregon,49,,(22) Arizona,0,
254,4,Sep 22 2012,Sat,Oregon State,27,@,(19) UCLA,20,
255,4,Sep 22 2012,Sat,Penn State,24,,Temple,13,
256,4,Sep 22 2012,Sat,Pittsburgh,55,,Gardner-Webb,10,
257,4,Sep 22 2012,Sat,Rutgers,35,@,Arkansas,26,
258,4,Sep 22 2012,Sat,San Jose State,38,@,San Diego State,34,
259,4,Sep 22 2012,Sat,(7) South Carolina,31,,Missouri,10,
260,4,Sep 22 2012,Sat,(13) Southern California,27,,California,9,
261,4,Sep 22 2012,Sat,Tennessee,47,,Akron,26,
262,4,Sep 22 2012,Sat,Texas A&M,70,,South Carolina State,14,
263,4,Sep 22 2012,Sat,(17) Texas Christian,27,,Virginia,7,
264,4,Sep 22 2012,Sat,Texas State,41,,Stephen F. Austin,37,
265,4,Sep 22 2012,Sat,Texas-San Antonio,56,,Northwestern Oklahoma State,3,
266,4,Sep 22 2012,Sat,Toledo,38,,Coastal Carolina,28,
267,4,Sep 22 2012,Sat,Troy,14,@,North Texas,7,
268,4,Sep 22 2012,Sat,Tulsa,27,,Fresno State,26,
269,4,Sep 22 2012,Sat,Utah State,31,@,Colorado State,19,
270,4,Sep 22 2012,Sat,Virginia Tech,37,,Bowling Green State,0,
271,4,Sep 22 2012,Sat,Wake Forest,49,,Army,37,
272,4,Sep 22 2012,Sat,(8) West Virginia,31,,Maryland,21,
273,4,Sep 22 2012,Sat,Western Kentucky,42,,Southern Mississippi,17,
274,4,Sep 22 2012,Sat,Western Michigan,30,,Connecticut,24,
275,4,Sep 22 2012,Sat,Wisconsin,37,,Texas-El Paso,26,
276,4,Sep 22 2012,Sat,Wyoming,40,@,Idaho,37,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
277,5,Sep 27 2012,Thu,Washington,17,,(8) Stanford,13,
278,5,Sep 28 2012,Fri,Brigham Young,47,,Hawaii,0,
279,5,Sep 29 2012,Sat,Air Force,42,,Colorado State,21,
280,5,Sep 29 2012,Sat,(1) Alabama,33,,Mississippi,14,
281,5,Sep 29 2012,Sat,Arizona State,27,@,California,17,
282,5,Sep 29 2012,Sat,(24) Boise State,32,@,New Mexico,29,
283,5,Sep 29 2012,Sat,Bowling Green State,48,,Rhode Island,8,
