3,"T1",68.8,21.8,70.0,4.4,363.0,108.2,441.4,-46.6,604.1,98.9,522.6,59.6,34.3,0.2,0,0.154,"B2","B2"
7,"T1",67.4,23.2,76.7,-2.3,370.3,100.9,360.3,34.5,593.0,110.0,640.5,-58.3,35.4,0.5,-7,0.000,"B2","B2"
24,"T1",67.5,23.1,65.3,9.1,331.8,139.4,400.0,-5.2,561.3,141.7,481.0,101.2,19.8,0.4,-2,0.154,"B2","B2"
11,"B",81.2,9.4,70.6,3.8,404.3,66.9,351.7,43.1,636.1,66.9,546.6,35.6,9.8,0.3,0,0.231,"B2","P1"
3,"T1",46.5,-1.1,56.9,1.9,330.2,18.2,331.2,55.8,435.2,-10.6,468.8,-0.8,7.3,-1.0,0,-0.077,"B2","BT"
-23,"T1",44.9,0.5,57.5,1.3,270.4,78.0,396.1,-9.1,422.1,2.5,423.9,44.1,-8.1,-0.9,0,-0.154,"B2","B2"
-16,"T1",50.9,-5.5,68.5,-9.7,276.0,72.4,392.7,-5.7,488.6,-64.0,525.1,-57.1,-26.4,-0.3,0,-0.077,"B2","B2"
3,"T1",66.5,-21.1,51.7,7.1,413.3,-64.9,352.9,34.1,489.6,-65.0,401.4,66.6,5.6,-0.5,0,0.295,"B2","B2"
6,"T1",49.5,-4.1,78.1,-19.3,359.1,-10.7,352.1,34.9,484.1,-59.5,621.2,-153.2,4.3,-2.5,7,-0.462,"B2","B2"
-14,"B",41.0,4.4,55.8,3.0,316.0,32.4,291.3,95.7,384.6,40.0,475.2,-7.2,-1.1,-1.3,0,-0.231,"B2","BE"
3,"T1",52.6,-8.0,82.1,5.5,326.8,-8.0,473.2,5.0,415.3,-80.5,519.2,35.4,-16.3,-0.8,0,-0.619,"B2","MA"
-11,"T1",61.5,-16.9,77.6,10.0,418.2,-99.4,364.3,113.9,394.2,-59.4,622.7,-68.1,-34.3,-0.5,7,-0.250,"B2","B2"
-30,"T1",44.4,0.2,83.3,4.3,294.1,24.7,402.0,76.2,408.9,-74.1,626.7,-72.1,1.9,-0.3,0,-0.603,"B2","B2"
-38,"T1",50.2,-5.6,75.6,12.0,290.6,28.2,424.6,53.6,430.8,-96.0,428.8,125.8,-9.0,-1.3,0,-0.603,"B2","B2"
-1,"T1",59.5,-14.9,89.1,-1.5,356.8,-38.0,474.7,3.5,458.5,-123.7,628.8,-74.2,-33.5,-0.8,0,-0.603,"B2","B2"
37,"T1",56.0,7.6,45.0,10.8,315.3,55.7,239.3,23.1,347.8,-44.8,408.8,118.0,-7.7,-0.1,7,0.353,"B2","MA"
1,"T1",69.0,-5.4,73.2,-17.4,382.9,-11.9,366.8,-104.4,442.6,-139.6,614.9,-88.1,-24.5,0.5,0,0.000,"B2","B2"
7,"T1",55.3,8.3,60.7,-4.9,312.9,58.1,375.2,-112.8,404.1,-101.1,494.9,31.9,9.8,0.7,-7,0.154,"B2","B2"
-41,"T1",53.9,9.7,67.4,-11.6,320.2,50.8,294.1,-31.7,393.0,-90.0,612.8,-86.0,10.9,1.0,0,0.000,"B2","B2"
3,"T1",60.0,3.6,67.0,-11.2,287.3,83.7,330.4,-68.0,427.8,-124.8,554.5,-27.7,-23.0,1.5,0,0.231,"B2","B2"
7,"T1",61.2,2.4,50.6,5.2,379.0,-8.0,305.4,-43.0,385.5,-82.5,475.7,51.1,3.4,1.8,7,0.308,"B2","B2"
-13,"B",54.0,9.6,64.7,-8.9,353.1,17.9,268.6,-6.2,346.7,-43.7,564.1,-37.3,3.4,0.8,0,-0.077,"B2","SE"
11,"T1",55.7,9.9,44.8,2.2,412.5,75.5,201.2,53.6,426.7,36.3,551.7,-46.5,-3.0,0.6,0,0.282,"B2","MA"
35,"T1",62.2,3.4,46.2,0.8,437.5,50.5,301.6,-46.8,465.5,-2.5,464.9,40.3,-6.4,1.1,0,0.154,"B2","B2"
-21,"T1",59.6,6.0,72.2,-25.2,428.9,59.1,286.0,-31.2,503.3,-40.3,639.8,-134.6,-2.1,-1.4,0,-0.308,"B2","B2"
12,"T1",55.0,10.6,51.6,-4.6,340.2,147.8,330.0,-75.2,441.3,21.7,442.5,62.7,-14.5,0.2,0,0.000,"B2","B2"
4,"T1",72.0,-6.4,57.3,-10.3,502.8,-14.8,252.6,2.2,458.3,4.7,598.0,-92.8,-35.1,0.1,0,0.199,"B2","B2"
14,"N",76.6,-11.0,45.8,1.2,483.1,4.9,286.8,-32.0,508.8,-45.8,420.0,85.2,-0.8,0.6,0,0.449,"B2","B2"
33,"T1",66.8,12.2,55.2,-11.0,291.4,34.4,326.4,-57.0,635.7,63.1,490.2,-7.2,3.1,0.3,0,0.154,"B2","CU"
10,"T1",63.0,16.0,54.9,-10.7,290.3,35.5,378.7,-109.3,602.0,96.8,473.0,10.0,-1.1,-0.3,0,0.154,"B2","B2"
56,"T1",74.2,4.8,47.4,-3.2,388.9,-63.1,273.1,-3.7,633.7,65.1,482.5,0.5,-18.5,0.0,0,0.269,"B2","MA"
-3,"T1",78.7,0.3,55.9,-11.7,421.7,-95.9,259.9,9.5,576.2,122.6,586.9,-103.9,-36.2,-0.2,0,0.353,"B2","B2"
16,"T1",67.7,11.3,61.2,-17.0,264.7,61.1,333.9,-64.5,625.7,73.1,532.6,-49.6,-33.9,0.5,0,0.231,"B2","B2"
20,"T1",68.9,10.1,44.8,-0.6,356.4,-30.6,308.9,-39.5,583.4,115.4,453.8,29.2,-7.5,0.8,-1,0.308,"B2","B2"
17,"B",63.3,15.7,49.6,-5.4,318.9,6.9,272.4,-3.0,572.3,126.5,476.3,6.7,-0.2,-0.2,0,0.231,"B2","BT"
27,"T1",78.5,18.9,59.1,-5.5,297.2,20.0,310.1,59.7,648.5,125.9,541.3,2.3,-34.8,1.6,0,0.231,"B2","SB"
23,"T1",84.1,13.3,57.6,-4.0,320.2,-3.0,279.4,90.4,686.1,88.3,642.6,-99.0,-40.3,2.1,0,0.590,"B2","P1"
42,"T1",92.5,4.9,49.1,4.5,397.7,-80.5,344.3,25.5,664.5,109.9,439.2,104.4,1.3,2.0,7,0.756,"B2","B2"
