129,Long Beach State,/cfb/schools/long-beach-state/,1969,1991,23,257,129,126,2,.506,1,0,0,1,.500,-7.67,-6.71,0,3,W-L adjusted to 130-125-2 by NCAA (more,/cfb/friv/forfeits.cgi),
130,Louisiana State,/cfb/schools/louisiana-state/,1902,2012,108,1127,703,377,47,.645,43,22,20,1,.523,9.55,6.22,35,11,W-L adjusted to 705-375-47 by NCAA (more,/cfb/friv/forfeits.cgi),
131,Louisiana Tech,/cfb/schools/louisiana-tech/,1975,2012,32,356,174,175,7,.499,6,2,3,1,.417,-4.59,-3.83,0,4,W-L adjusted to 175-174-7 by NCAA (more,/cfb/friv/forfeits.cgi),
132,Louisiana-Lafayette,/cfb/schools/louisiana-lafayette/,1973,2012,40,437,177,255,5,.411,1,1,0,0,1.000,-10.33,-5.63,0,4,W-L adjusted to 178-254-5 by NCAA (more,/cfb/friv/forfeits.cgi),
133,Louisiana-Monroe,/cfb/schools/louisiana-monroe/,1975,2012,26,284,100,182,2,.356,0,0,0,0,,-12.32,-5.69,0,1,,
134,Louisville,/cfb/schools/louisville/,1962,2012,51,564,290,267,7,.520,15,6,8,1,.433,-2.01,-1.99,7,7,W-L adjusted to 292-265-7 by NCAA (more,/cfb/friv/forfeits.cgi),
135,Loyola (LA),/cfb/schools/loyola-la/,1934,1936,3,28,10,17,1,.375,,,,,,-6.61,-0.59,0,0,,
136,Loyola Marymount,/cfb/schools/loyola-marymount/,1933,1951,13,127,66,57,4,.535,,,,,,-2.08,-1.96,0,0,,
137,Lubbock Field,/cfb/schools/lubbock-field/,1944,1944,1,9,5,4,0,.556,,,,,,-1.41,-0.31,0,0,,
138,Maine,/cfb/schools/maine/,1904,1905,2,16,8,7,1,.531,,,,,,-1.90,2.90,0,0,,
139,Manhattan,/cfb/schools/manhattan/,1936,1942,7,63,30,31,2,.492,,,,,,-0.84,2.27,0,0,,
140,March Field,/cfb/schools/march-field/,1943,1944,2,21,16,3,2,.810,,,,,,5.37,-3.49,2,0,,
141,Mare Island Marines,/cfb/schools/mare-island-marines/,1917,1918,2,19,18,1,0,.947,2,1,1,0,.500,13.72,-0.97,0,0,,
142,Marquette,/cfb/schools/marquette/,1927,1960,34,306,131,160,15,.453,1,0,1,0,.000,-0.74,2.32,1,0,,
143,Marshall,/cfb/schools/marshall/,1962,2012,36,395,166,226,3,.424,9,7,2,0,.778,-10.46,-5.69,2,5,,
144,Maryland,/cfb/schools/maryland/,1917,2012,96,1006,521,455,30,.533,24,11,11,2,.500,2.65,3.04,18,11,,
145,Maryville (TN),/cfb/schools/maryville-tn/,1906,1907,2,13,3,8,2,.308,,,,,,-9.89,5.48,0,0,,
146,Massachusetts,/cfb/schools/massachusetts/,1882,2012,15,116,47,63,6,.431,0,0,0,0,,-6.78,0.71,0,0,,
147,McNeese State,/cfb/schools/mcneese-state/,1975,1981,7,80,57,21,2,.725,3,1,2,0,.333,-1.17,-7.46,0,3,,
148,Memphis,/cfb/schools/memphis/,1960,2012,53,570,262,300,8,.467,6,3,3,0,.500,-1.62,-0.90,0,3,W-L adjusted to 263-299-8 by NCAA (more,/cfb/friv/forfeits.cgi),
149,Mercer,/cfb/schools/mercer/,1909,1936,15,138,56,73,9,.438,,,,,,-3.92,1.98,0,0,,
150,Merchant Marine,/cfb/schools/merchant-marine/,1945,1947,3,30,11,19,0,.367,,,,,,-13.85,-6.75,0,0,,
151,Miami (FL),/cfb/schools/miami-fl/,1936,2012,76,828,525,291,12,.641,33,18,15,0,.545,9.04,4.57,30,9,,
152,Miami (OH),/cfb/schools/miami-oh/,1962,2012,51,558,324,219,15,.594,8,5,3,0,.625,-3.09,-5.96,4,9,W-L adjusted to 325-218-15 by NCAA (more,/cfb/friv/forfeits.cgi),
153,Michigan,/cfb/schools/michigan/,1881,2012,123,1206,869,302,35,.735,41,20,21,0,.488,13.87,7.27,56,42,,
154,Michigan State,/cfb/schools/michigan-state/,1918,2012,88,893,515,348,30,.594,22,8,14,0,.364,9.21,6.10,23,7,W-L adjusted to 510-353-30 by NCAA (more,/cfb/friv/forfeits.cgi),
155,Middle Tennessee State,/cfb/schools/middle-tennessee-state/,1999,2012,14,154,69,85,0,.448,3,1,2,0,.333,-8.15,-5.99,0,2,,
156,Millsaps,/cfb/schools/millsaps/,1924,1924,1,9,3,5,1,.389,,,,,,-10.12,-4.36,0,0,,
157,Minnesota,/cfb/schools/minnesota/,1892,2012,121,1144,630,472,42,.569,14,5,9,0,.357,8.51,7.28,14,18,,
158,Mississippi,/cfb/schools/mississippi/,1902,2012,107,1092,591,467,34,.557,33,21,12,0,.636,4.54,4.47,23,6,W-L adjusted to 595-463-34 by NCAA (more,/cfb/friv/forfeits.cgi),
159,Mississippi College,/cfb/schools/mississippi-college/,1911,1924,10,81,38,37,6,.506,,,,,,-3.34,2.14,0,0,,
160,Mississippi State,/cfb/schools/mississippi-state/,1902,2012,108,1066,515,514,37,.500,15,9,6,0,.600,2.94,4.72,12,1,W-L adjusted to 498-532-36 by NCAA (more,/cfb/friv/forfeits.cgi),
161,Mississippi Valley State,/cfb/schools/mississippi-valley-state/,1977,1977,1,10,5,5,0,.500,,,,,,-11.39,-10.14,0,0,,
162,Missouri,/cfb/schools/missouri/,1901,2012,111,1120,577,493,50,.538,29,13,16,0,.448,4.64,5.03,17,12,W-L adjusted to 579-491-50 by NCAA (more,/cfb/friv/forfeits.cgi),
163,MIT,/cfb/schools/mit/,1882,1899,12,77,27,48,2,.364,,,,,,-5.20,4.20,0,0,,
164,Montana,/cfb/schools/montana/,1917,1962,38,332,123,199,10,.386,,,,,,-8.84,-2.40,0,0,,
165,Montana State,/cfb/schools/montana-state/,1923,1947,17,140,65,66,9,.496,1,0,0,1,.500,-7.32,-3.74,0,2,,
166,Nashville,/cfb/schools/nashville/,1904,1904,1,9,1,7,1,.167,,,,,,-11.26,3.68,0,0,,
167,Navy,/cfb/schools/navy/,1891,2012,119,1187,623,512,52,.547,17,7,9,1,.441,4.11,3.70,12,0,,
168,Nebraska,/cfb/schools/nebraska/,1900,2012,113,1173,811,324,38,.708,48,24,24,0,.500,11.12,5.73,47,43,W-L adjusted to 812-324-37 by NCAA (more,/cfb/friv/forfeits.cgi),
169,Nevada,/cfb/schools/nevada/,1946,2012,26,292,165,127,0,.565,12,4,8,0,.333,-3.42,-5.48,1,7,,
170,Nevada-Las Vegas,/cfb/schools/nevada-las-vegas/,1978,2012,35,391,152,236,3,.393,3,3,0,0,1.000,-9.07,-3.48,0,1,W-L adjusted to 141-247-3 by NCAA (more,/cfb/friv/forfeits.cgi),
171,New Hampshire,/cfb/schools/new-hampshire/,1904,1905,2,15,4,9,2,.333,,,,,,-11.44,-0.40,0,0,,
172,New Mexico,/cfb/schools/new-mexico/,1931,2012,81,862,365,480,17,.433,10,3,6,1,.350,-6.40,-3.06,0,4,,
173,New Mexico State,/cfb/schools/new-mexico-state/,1931,2012,79,822,293,515,14,.365,3,2,0,1,.833,-12.82,-6.99,1,4,W-L adjusted to 294-514-14 by NCAA (more,/cfb/friv/forfeits.cgi),
174,New York University,/cfb/schools/new-york-university/,1927,1952,24,205,97,99,9,.495,,,,,,-4.22,-0.82,0,0,,
175,Newberry,/cfb/schools/newberry/,1914,1925,11,86,34,48,4,.419,,,,,,-9.95,-0.71,0,0,,
176,Norman Naval Air Station,/cfb/schools/norman-naval-air-station/,1944,1944,1,6,6,0,0,1.000,,,,,,18.06,6.21,1,0,,
